Activity Name: bath/
UserID: A
StartTime: 0
x	y	z
295	-897	-509
399	-930	-311
504	-868	-212
510	-884	-159
408	-1092	-49
478	-976	-143
419	-1098	31
459	-786	-49
392	-881	-57
288	-615	57
304	-720	187
399	-735	280
488	-829	336
550	-754	344
504	-745	188
415	-794	94
376	-801	136
320	-941	131
267	-1000	-105
240	-1025	-265
312	-1034	-194
384	-1017	-193
472	-1002	-116
487	-1050	39
451	-1215	44
310	-1324	48
152	-1153	199
99	-916	198
78	-880	71
79	-961	-49
72	-975	-60
71	-921	3
91	-776	63
62	-776	23
-8	-1100	-146
27	-957	-136
-57	-732	-21
-169	-648	-20
-285	-607	-153
-496	-593	-349
-697	-509	-561
-808	-482	-695
-836	-697	-744
-425	-689	-685
-604	-585	-1248
-776	-305	-2017
-303	-97	-1829
-976	379	-1570
-925	540	-1079
-671	289	-737
-637	352	-609
-592	321	-570
-505	254	-657
-408	220	-698
-260	35	-612
-344	112	-484
-391	-100	-410
-573	112	-532
-369	-40	-761
-209	35	-1119
-292	-119	-1644
-207	-292	-2023
-141	-429	-2048
-225	-744	-1964
-167	-498	-1480
-333	-80	-946
-568	140	-548
-889	222	-439
-401	27	-561
-330	55	-852
-301	375	-1058
-151	3	-1015
-177	110	-1129
-192	-40	-1041
31	-319	-1183
-249	-144	-932
-77	-249	-930
-93	-84	-986
-25	-103	-1056
-65	-57	-1076
-57	-104	-968
-20	-100	-1015
-81	-25	-1077
-146	-66	-1056
-192	17	-1036
-532	192	-797
-793	299	-532
-801	377	-426
-602	568	-676
-418	412	-948
-153	86	-1534
-2	-66	-1989
92	399	-2048
-637	71	-2048
-1101	-361	-869
-948	-500	92
-1121	-388	294
-1119	142	-309
-824	463	-889
-973	428	-1629
-927	529	-1901
-189	27	-1404
-215	291	-945
-634	398	-505
-788	435	-337
-813	312	-351
-904	319	-432
-890	201	-609
-817	124	-738
-632	72	-832
-575	152	-889
-532	172	-881
-552	291	-948
-684	268	-927
-753	216	-775
-711	262	-730
-660	192	-653
-616	319	-752
-541	332	-820
-473	255	-812
-432	361	-865
-463	368	-892
-513	496	-948
-580	455	-887
-633	443	-832
-610	350	-753
-592	321	-695
-543	355	-727
-520	304	-744
-557	275	-800
-615	391	-852
-665	372	-856
-695	303	-944
-793	259	-1073
-756	-37	-845
-637	-133	-906
-581	-72	-957
-530	-177	-793
-503	-119	-778
-530	-42	-788
-541	20	-800
-513	108	-837
-434	64	-826
-305	167	-862
-200	83	-929
-121	12	-991
-64	88	-1140
-57	191	-1401
-226	233	-1511
-450	358	-1428
-570	340	-1031
-705	79	-600
-949	-184	-274
-1213	-146	-76
-1120	73	-57
-788	255	-554
-321	265	-1212
-164	683	-2048
38	841	-2048
142	731	-2048
-113	614	-1824
-1128	307	-1317
-1263	-193	-632
-1599	-20	-96
-1264	-87	327
-696	-172	30
-312	335	-1081
