Activity Name: bath/
UserID: B
StartTime: 0
x	y	z
903	249	118
915	240	126
920	247	126
927	246	143
920	231	155
921	246	177
927	248	192
883	254	219
851	273	228
833	295	227
820	305	216
817	312	192
830	316	187
839	294	183
835	300	176
859	307	185
903	297	195
944	291	206
956	284	224
904	283	219
950	263	188
1032	176	172
975	167	172
928	139	161
903	99	159
919	96	143
951	103	115
945	102	95
915	140	67
902	201	52
918	303	41
934	329	56
908	396	68
880	400	140
871	435	227
926	524	332
940	495	529
732	313	547
417	-258	203
120	1008	-308
758	2047	-1092
1697	1008	-1316
1600	-1128	248
921	-47	720
275	692	510
92	979	952
-168	1020	699
-282	780	463
-413	796	536
-530	892	710
-613	724	676
-665	484	548
-722	294	428
-700	355	499
-609	177	553
-628	-26	494
-557	-85	488
-473	14	686
-400	6	823
-404	172	779
-362	148	883
-328	56	966
-234	99	948
-224	526	1014
-362	124	956
-416	-127	924
-392	-113	835
-439	-8	856
-456	-77	919
-409	-141	934
-413	-152	1070
-357	-236	1070
-340	-260	992
-405	-236	935
-473	-103	937
-505	-64	944
-424	-281	1052
-445	-196	920
-445	-136	884
-464	-113	952
-505	-61	936
-490	-72	947
-480	-95	952
-473	-80	929
-449	-124	935
-473	-137	955
-490	-101	967
-500	-87	931
-488	-62	967
-500	-98	953
-509	-56	953
-509	-36	950
-511	-61	926
-500	-58	927
-501	-85	904
-488	-89	921
-511	-63	927
-546	-36	934
-549	-25	899
-543	-71	924
-538	-52	921
-561	-52	894
-586	-33	903
-589	12	880
-589	7	892
-584	-47	902
-596	-53	881
-612	-32	895
-616	-16	892
-605	-4	886
-592	-25	871
-570	-40	876
-576	-61	889
-596	-48	897
-586	-47	888
-581	-45	892
-585	-34	892
-565	-68	876
-576	-79	871
-576	-50	878
-586	-41	867
-573	-23	894
-582	-39	883
-583	-81	857
-583	-47	871
-572	-32	865
-537	38	851
-429	139	831
-321	187	894
-193	-15	892
-242	49	783
-356	152	624
-448	188	481
-657	192	366
-730	176	364
-769	300	446
-810	472	641
-610	880	887
-626	897	644
-292	1016	744
-87	1127	913
48	1320	1064
-12	1291	947
-313	1368	784
-439	1302	691
-439	1193	619
-330	1103	614
-271	825	600
-348	798	632
-568	551	532
-509	788	583
-575	636	462
-576	455	359
-418	504	483
-392	468	608
-497	524	736
-564	596	699
-703	328	564
-801	367	582
-792	342	638
-725	329	614
-693	392	620
-712	422	624
-736	412	648
-765	297	590
-756	433	616
-700	430	647
-829	479	520
-900	520	348
-890	500	329
-800	399	467
-784	520	435
-861	511	398
-884	393	371
-868	487	392
-809	444	472
-818	350	492
-842	385	447
-788	425	467
-750	448	499
-749	448	535
-794	401	513
-770	448	511
-800	526	536
-828	495	548
-839	480	529
-820	376	524
-828	377	463
-800	481	495
-765	447	524
-792	428	502
-799	424	455
-773	391	470
-743	448	449
-692	511	483
-773	524	479
-855	521	528
-744	572	467
-729	606	404
-736	520	425
-784	543	436
-770	499	448
-741	504	406
-743	544	417
-777	500	384
-728	492	438
-821	607	384
-799	588	427
-783	579	465
-786	624	455
-729	572	451
-737	703	472
-740	639	419
-724	612	435
-737	679	432
-714	681	481
-705	628	492
-679	633	452
-653	639	465
-689	639	440
-689	632	448
-692	601	483
-708	617	487
-680	631	488
-658	615	494
-644	639	470
-588	620	503
-604	643	470
-624	694	444
-684	739	417
-687	684	353
-704	687	312
-680	743	319
-743	707	232
-727	743	195
-725	736	192
-706	783	153
-708	812	124
-705	800	88
-697	824	83
-688	787	103
-673	780	123
-692	766	124
-695	768	132
-689	775	134
-701	763	124
-697	790	136
-695	767	140
-698	774	129
-705	760	103
-712	776	87
-729	764	62
-717	760	54
-716	737	67
-720	761	76
-712	756	78
-728	735	104
-722	681	126
-720	734	135
-720	734	127
-706	684	123
-708	807	112
-724	744	105
-717	752	140
-724	727	135
-717	713	144
-727	736	131
-722	723	127
-737	736	96
-733	760	112
-712	721	152
-724	736	124
-717	748	112
-712	744	105
-709	753	99
-744	756	67
-737	751	70
-736	755	62
-730	756	67
-727	755	78
-720	739	80
-729	748	91
-717	736	96
-719	745	111
-719	716	113
-728	726	124
-719	755	103
-733	790	70
-738	743	88
-728	760	115
-717	727	119
-708	734	129
-703	736	108
-704	719	99
-738	756	75
-745	785	65
-733	753	65
-728	756	92
-709	739	92
-712	743	92
-719	771	86
-719	751	99
-722	739	92
-722	739	120
-725	728	148
-714	705	192
-720	734	204
-719	732	211
-720	707	212
-730	728	195
-730	721	174
-737	723	169
-730	742	196
-713	728	247
-700	679	312
-719	675	335
-717	639	343
-701	671	369
-714	679	337
-736	670	321
-717	705	299
-732	713	198
-729	777	151
-737	760	104
-720	719	71
-728	744	51
-725	739	44
-729	724	31
-736	739	39
-740	748	49
-741	740	48
-740	734	44
-733	743	54
-735	740	54
-733	736	56
-735	734	55
-738	731	48
-740	736	54
-735	736	60
-740	736	63
-737	743	59
-735	735	70
-729	736	72
-730	731	63
-738	736	67
-741	736	62
-737	743	67
-728	719	99
-730	724	97
-733	760	92
-743	736	80
-736	729	84
-740	739	63
-729	737	59
-730	739	63
-724	745	63
-728	745	64
-729	739	67
-722	736	70
-728	728	78
-733	739	63
-737	743	57
-738	748	72
-736	737	79
-737	743	76
-737	732	86
-737	737	81
-738	734	75
-737	723	79
-737	720	79
-745	735	79
-741	737	79
-745	729	83
-730	721	88
-738	719	83
-744	723	79
-745	735	71
-749	736	71
-744	732	71
-741	728	76
-745	731	80
-738	729	71
-744	734	64
-748	726	75
-738	723	75
-746	716	71
-749	721	62
-748	732	67
-746	721	63
-749	728	60
-753	719	63
-753	727	63
-753	721	59
-743	713	64
-756	719	68
-749	721	71
-761	723	73
-753	723	76
-753	716	79
-753	719	84
-744	718	86
-743	712	95
-749	699	78
-744	695	71
-744	721	75
-737	724	89
-759	728	107
-743	731	136
-741	712	152
-737	712	167
-740	726	167
-741	735	164
-732	715	176
-736	721	176
-743	711	143
-744	732	136
-729	739	116
-733	732	97
-733	723	82
-740	727	62
-733	736	51
-743	739	46
-745	739	32
-740	736	15
-749	743	-15
-753	751	-29
-746	719	-58
-746	712	-84
-752	719	-92
-760	700	-89
-757	720	-74
-764	728	-73
-756	731	-73
-761	728	-88
-759	715	-84
-752	725	-81
-753	719	-79
-761	723	-77
-744	702	-65
-743	710	-69
-756	748	-71
-761	715	-61
-772	710	-58
-772	716	-56
-769	723	-52
-751	728	-31
-760	713	-16
-761	736	16
-776	703	59
-761	719	86
-778	707	76
-753	662	79
-765	704	79
-761	700	83
-752	707	119
-761	732	147
-773	700	172
-769	679	204
-761	684	209
-769	652	198
-749	652	206
-770	671	192
-772	702	171
-764	702	152
-769	713	135
-761	723	124
-754	684	107
-767	694	63
-772	720	24
-767	716	-15
-772	710	-45
-761	715	-57
-770	711	-64
-765	716	-55
-776	719	-49
-776	705	-53
-776	697	-61
-781	700	-63
-773	707	-55
-773	704	-47
-770	707	-40
-767	704	-40
-776	704	-37
-778	704	-18
-773	703	-16
-778	696	17
-770	689	32
-776	713	16
-773	700	20
-776	691	14
-778	696	-8
-781	706	-25
-776	700	-12
-770	702	-8
-772	702	-13
-781	704	-15
-784	696	-12
-788	694	-13
-781	704	-26
-769	704	-32
-772	699	-36
-773	695	-29
-792	715	-45
-786	702	-69
-796	671	-76
-770	671	-71
-785	691	-74
-788	708	-84
-794	703	-104
-765	684	-97
-769	684	-122
-792	699	-122
-789	718	-120
-781	700	-113
-772	696	-125
-772	704	-127
-769	704	-125
-772	704	-132
-762	707	-125
-761	703	-121
-752	704	-114
-761	721	-128
-772	728	-112
-761	712	-119
-753	705	-113
-749	715	-108
-757	712	-114
-761	711	-105
-760	707	-113
-757	719	-111
