Activity Name: bath/
UserID: D
StartTime: 0
x	y	z
668	616	536
716	568	432
731	552	384
708	515	348
688	560	342
694	643	332
691	643	366
671	681	382
638	748	415
649	799	367
625	799	360
617	737	390
600	748	392
568	760	406
604	755	307
636	710	200
612	855	103
556	825	239
543	804	367
531	852	286
567	807	228
519	840	332
497	847	368
496	793	411
523	799	327
556	804	259
592	752	220
604	796	188
592	817	200
632	721	103
609	710	89
563	719	103
526	614	100
492	681	-25
444	708	-132
419	688	-271
459	694	-418
472	691	-442
430	748	-397
406	703	-287
289	745	-500
219	1004	-679
167	987	-1000
86	928	-919
-29	881	-759
-89	775	-729
-202	785	-625
-253	844	-658
-79	624	-857
9	560	-858
56	567	-772
63	612	-781
56	668	-810
39	689	-796
22	702	-778
14	696	-781
22	662	-777
41	617	-777
56	609	-777
63	624	-778
81	636	-781
81	643	-777
80	675	-757
80	671	-753
73	704	-762
44	745	-756
39	704	-733
51	675	-772
73	568	-869
137	655	-889
192	520	-825
206	536	-829
231	443	-845
216	415	-759
118	1080	-868
271	646	-866
353	703	-842
419	743	-680
403	716	-672
440	540	-621
339	676	-404
355	811	-367
350	931	-288
472	992	-376
600	899	-456
726	612	-537
723	463	-288
463	702	167
358	776	286
351	844	222
444	894	259
392	851	406
361	927	342
313	903	414
352	684	492
451	569	339
463	742	291
479	892	192
515	961	263
499	892	342
588	720	243
568	846	23
487	1071	216
399	1118	327
600	920	88
492	785	435
488	867	408
492	680	348
451	684	412
475	736	355
529	564	295
375	995	540
310	1260	374
364	940	174
227	1062	254
134	1198	289
289	883	180
265	878	343
188	1035	310
175	1134	264
136	1142	161
179	1110	96
168	1000	230
195	809	145
167	816	291
116	952	352
192	923	295
303	822	214
310	743	195
315	867	247
270	947	376
363	824	390
385	844	438
307	819	351
263	614	214
342	376	102
456	272	201
455	448	428
438	799	476
496	972	140
460	1180	-33
455	1264	-104
435	1068	108
419	944	135
422	1012	7
392	1011	-116
321	1047	-207
291	903	-216
215	908	-217
169	888	-260
196	886	-311
263	832	-416
235	883	-477
185	902	-500
195	872	-569
167	825	-617
135	876	-656
112	897	-633
116	876	-609
145	910	-600
197	895	-600
212	880	-581
208	806	-583
200	760	-609
199	744	-624
234	723	-644
248	700	-656
273	700	-656
304	668	-653
312	664	-625
243	715	-661
251	707	-657
291	684	-679
327	639	-669
359	643	-679
355	632	-689
358	646	-666
272	665	-648
430	631	-692
488	567	-720
491	524	-671
487	500	-687
526	470	-738
556	440	-681
632	460	-631
664	430	-669
624	416	-665
590	419	-701
600	430	-684
647	433	-653
631	448	-628
632	444	-586
579	425	-511
556	534	-495
496	575	-573
355	716	-674
302	809	-712
508	716	-649
560	641	-648
571	708	-505
563	721	-456
387	841	-378
380	879	-248
287	899	-249
419	697	-778
344	735	-698
380	787	-452
328	889	-281
248	961	-249
200	967	-274
200	832	-290
323	735	-391
292	977	-328
331	984	-317
324	958	-383
336	952	-431
240	859	-393
227	816	-397
175	835	-429
198	851	-489
231	863	-468
263	844	-407
199	956	-346
243	920	-373
327	800	-538
126	940	-522
204	881	-541
199	764	-481
120	807	-341
118	918	-188
184	999	-196
191	1020	-168
184	1036	-125
198	1031	-124
222	1031	-151
227	1031	-136
192	995	-97
159	972	-56
127	956	-32
80	931	-8
41	929	24
6	927	48
-4	940	31
8	984	6
39	960	-10
65	952	-36
126	963	-96
198	1006	-164
243	1033	-201
248	1063	-248
207	1092	-276
156	1048	-260
103	1011	-199
25	1016	-114
-36	1033	-29
-72	1031	46
-57	964	110
-16	928	160
-2	920	195
-23	944	248
-34	977	264
-28	995	260
-36	966	264
-56	988	268
-77	996	254
-104	1004	263
-132	963	294
-121	942	316
-120	945	323
-100	950	323
-60	955	323
-48	969	319
-52	956	312
-55	967	288
-58	975	252
-89	967	252
-109	944	278
-116	952	276
-122	998	287
-121	1055	344
-66	1095	425
23	1148	510
88	1203	547
188	1228	519
231	1299	433
200	1295	391
153	1132	465
193	787	579
225	438	659
264	236	747
316	44	806
403	9	707
488	31	672
543	227	708
574	168	825
633	167	688
654	131	704
659	111	780
624	143	849
696	152	787
740	204	705
732	291	648
702	161	655
630	97	780
636	67	743
595	348	617
563	423	606
496	457	759
601	524	748
668	628	748
643	742	752
563	863	835
497	860	851
492	924	711
495	783	591
460	678	571
404	664	705
399	654	760
392	734	800
377	696	830
278	727	684
313	599	502
260	531	423
140	487	361
71	420	233
-50	422	195
-321	783	75
-529	905	276
-752	1084	382
-844	1176	427
-800	1895	430
-540	1641	466
-305	755	80
-405	863	79
-452	755	265
-477	735	304
-538	739	297
-621	835	231
-681	855	203
-650	855	216
-653	931	268
-548	870	212
-501	764	174
-575	688	184
-607	744	164
-634	673	263
-601	710	110
-717	782	-1
-893	1081	206
-952	769	345
-733	1009	-314
-825	1103	-242
-648	814	-121
-431	599	-196
-548	700	67
-637	747	207
-669	684	124
-645	705	3
-609	880	-92
-468	701	-225
-385	472	-178
-426	1071	-25
-464	1272	-28
-288	1436	-229
-281	1089	-82
-464	1267	124
-509	1305	25
-400	1113	118
-322	992	239
-175	819	376
-217	734	623
24	439	494
463	-164	355
624	-596	540
555	-424	664
763	81	243
971	545	-296
707	1459	-341
54	1979	96
-72	1694	-32
-1124	1488	595
-941	1096	313
-205	1507	-189
-538	1654	-952
-725	1240	-1117
-1338	481	368
-1976	172	1193
-525	-153	-201
343	892	-397
-108	1558	369
-335	1334	870
-205	816	504
-212	780	611
-413	1257	688
-482	824	184
-441	695	206
-728	728	736
-1028	1216	572
-945	736	598
-303	-521	808
-173	-672	652
8	-482	704
-308	-1581	367
-426	-1316	191
-368	-1265	-466
-521	-1193	-440
27	-356	399
204	-529	380
368	-1377	59
223	-1096	-244
499	-738	-445
563	-1288	-360
510	-1241	-180
387	-68	-121
392	-575	43
344	167	247
-665	-676	-113
455	-260	-61
590	24	-93
-272	496	132
216	235	-16
176	254	-141
152	310	-170
-60	574	-208
-185	736	-185
-536	1008	-201
-1028	1203	19
-1748	1584	-320
-2048	2047	496
-1249	2047	224
-320	2047	-89
-557	2017	343
-653	1321	446
-829	707	-517
-2032	-1058	376
-744	-210	408
-716	-376	299
-685	-113	73
-1517	591	-657
-1217	572	-1340
-665	499	-1028
-617	740	-623
-1047	854	-434
-993	975	-216
-964	1055	-148
-967	1367	-221
-863	1502	-293
-677	1255	-253
-701	876	-146
-866	323	-143
-778	320	-72
-832	376	-8
-552	560	161
-409	368	231
-368	599	120
-549	844	487
-133	387	975
-194	467	1286
-106	1055	1123
48	1424	1103
305	1535	995
367	1350	591
414	1043	102
408	796	-122
396	764	-196
223	627	-450
9	1048	-569
-217	1692	-881
-52	2047	-1050
60	1284	-1153
211	1084	-945
483	923	-893
439	950	-689
315	263	-581
1176	-1057	-484
1059	-516	-50
-63	112	1086
225	766	647
924	1032	278
971	625	312
744	582	230
875	211	209
859	635	259
793	827	695
583	902	694
604	816	476
638	608	463
620	376	366
568	102	451
519	54	507
595	300	489
784	15	659
846	60	534
800	415	304
743	643	273
671	807	204
480	1057	286
396	1164	600
441	1084	470
532	958	328
473	960	286
496	1031	275
470	855	520
579	545	465
510	287	680
478	519	568
351	444	707
302	657	792
145	791	903
