Activity Name: tooth/
UserID: 712
StartTime: 0
x	y	z
484	-645	-525
486	-660	-528
483	-684	-543
496	-669	-562
494	-690	-541
476	-720	-586
480	-727	-538
496	-738	-505
544	-706	-561
535	-676	-557
488	-724	-481
536	-724	-496
508	-749	-464
536	-720	-442
497	-729	-442
545	-658	-388
515	-794	-360
523	-789	-365
464	-772	-305
510	-799	-338
483	-825	-369
481	-740	-338
491	-720	-392
505	-829	-393
455	-801	-416
459	-713	-416
492	-769	-391
355	-848	-464
206	-660	-407
-119	-473	-282
-320	-268	-352
-653	-317	-497
-996	-328	-596
-858	-239	-769
-1295	-541	-1296
-1433	-872	-1616
-1980	-1202	-2048
-928	-2048	-2048
-311	803	-2048
-1413	2047	-143
-874	1683	-2048
-31	-144	-2048
-16	-1111	-1402
113	-1825	-1450
318	-252	-2048
-104	1904	-2048
-196	2047	-1284
-241	715	-2048
-49	-2048	-2048
-932	-1929	-1500
192	1068	-1930
-1285	2047	-1156
-1165	1679	-594
-1000	292	-1248
-1071	-1997	-1839
-1288	-716	-1336
-689	467	-168
-968	721	120
-1021	304	-213
-960	33	-500
-949	-343	-624
-989	-591	-536
-852	-529	-113
-689	-452	265
-730	-468	167
-849	-648	-39
-776	-658	51
-721	-522	159
-866	-616	57
-898	-815	-82
-705	-857	44
-669	-845	86
-757	-813	-37
-775	-765	-58
-658	-753	-4
-537	-770	19
-504	-841	-50
-490	-865	-89
-353	-857	-61
-208	-884	-57
-113	-904	-164
-104	-906	-276
-125	-809	-506
-289	-873	-776
-352	-559	-816
-445	-412	-836
-584	-44	-1015
-661	-24	-1236
-605	-164	-1263
-632	-292	-1042
-468	-229	-656
-185	-373	-642
-80	-434	-960
-61	-381	-1018
-106	-381	-912
-149	-360	-794
-167	-360	-717
-217	-298	-712
-288	-296	-805
-463	-477	-878
-489	-340	-764
-493	-308	-644
-317	-336	-544
-237	-656	-720
-225	-890	-889
-153	-968	-788
-253	-1039	-624
-488	-929	-749
-644	-837	-784
-633	-743	-536
-660	-729	-413
-655	-599	-360
-788	-546	-368
-957	-626	-477
-1005	-609	-505
-913	-636	-544
-708	-704	-477
-540	-809	-511
-336	-893	-436
-218	-903	-361
-64	-954	-300
-20	-925	-308
31	-925	-276
36	-962	-232
137	-1045	-143
147	-1042	-168
169	-1055	-116
172	-1085	-50
195	-1021	54
220	-897	108
224	-647	147
375	-439	311
478	-233	399
462	-113	499
371	-191	732
88	-237	1007
65	-521	1251
124	-520	1164
315	-1007	711
344	-863	527
315	-807	542
396	-1018	520
323	-944	574
239	-872	504
190	-880	472
150	-777	567
95	-631	847
-13	-404	963
76	-3	1052
140	-313	1103
167	-537	935
-20	-772	880
-344	-889	807
-545	-800	660
-720	-688	711
-877	-469	712
-973	-249	854
-936	11	1240
-765	-236	1150
-705	-271	1059
-706	-501	1176
-676	-413	1008
-516	-242	780
-409	-241	615
-327	-150	508
-353	-80	518
-338	-32	688
-392	19	1001
-583	-202	991
-685	-93	942
-656	-229	920
-890	-669	1007
-668	-505	803
-632	-248	729
-551	-144	577
-637	-637	915
-585	-737	979
-900	-657	1136
-1081	-781	1455
-927	-953	1694
-501	-1317	1215
-95	-1399	353
214	-1073	-465
-97	-346	-568
-213	231	-8
-72	172	364
184	-314	371
324	-940	319
382	-858	100
671	-909	-354
881	-753	-493
910	-733	-360
600	-962	-37
428	-856	208
551	-781	161
603	-1133	236
688	-1252	312
872	-909	408
1007	-565	679
