Activity Name: bus/
UserID: 4122
StartTime: 0
x	y	z
-797	708	-150
-813	707	-165
-769	659	-125
-769	664	-141
-724	627	-89
-740	647	-120
-743	632	-106
-761	671	-125
-786	664	-136
-815	700	-152
-825	719	-164
-804	729	-160
-796	719	-152
-765	664	-128
-753	655	-144
-730	638	-111
-744	633	-116
-777	659	-138
-785	673	-117
-813	720	-141
-777	692	-144
-770	694	-168
-719	643	-153
-773	671	-193
-744	636	-156
-781	664	-189
-770	624	-189
-797	668	-205
-791	680	-212
-762	662	-221
-769	676	-234
-761	662	-249
-745	614	-216
-785	620	-234
-792	649	-208
-817	687	-237
-794	696	-201
-744	736	-197
-669	668	-168
-676	675	-212
-620	622	-172
-701	647	-232
-721	652	-173
-793	657	-239
-801	689	-258
-809	716	-320
-776	719	-308
-784	707	-325
-762	649	-301
-740	619	-273
-729	591	-281
-716	569	-264
-720	576	-228
-753	590	-249
-777	617	-280
-800	667	-301
-813	724	-328
-769	766	-319
-735	755	-305
-701	734	-264
-672	696	-260
-657	671	-239
-679	647	-236
-705	662	-233
-729	670	-237
-729	665	-241
-735	675	-264
-757	696	-292
-753	687	-284
-784	710	-312
-749	679	-272
-749	664	-292
-729	632	-263
-708	631	-240
-717	648	-242
-737	656	-237
-761	686	-260
-751	716	-253
-761	736	-282
-712	707	-247
-720	723	-264
-690	680	-228
-696	675	-232
-700	668	-240
-717	684	-241
-745	675	-264
-753	696	-252
-772	683	-269
-776	676	-290
-752	679	-285
-760	683	-292
-744	659	-258
-740	641	-257
-711	620	-239
-738	663	-274
-714	649	-244
-748	687	-274
-745	679	-264
-769	705	-288
-740	684	-280
-730	702	-292
-714	694	-272
-708	691	-279
-680	723	-266
-673	716	-266
-676	718	-249
-682	668	-232
-701	657	-240
-724	638	-271
-753	688	-328
-744	711	-316
-756	732	-340
-717	689	-295
-720	704	-308
-688	667	-276
-689	668	-301
-679	633	-285
-737	675	-324
-743	678	-295
-756	703	-324
-737	699	-322
-740	727	-336
-704	704	-289
-692	684	-295
-676	671	-266
-674	665	-263
-681	649	-280
-690	651	-269
-724	662	-293
-753	697	-292
-767	704	-304
-724	720	-266
-689	723	-249
-648	753	-183
-601	769	-140
-568	760	-116
-497	720	-144
-426	657	-152
-351	572	-100
-290	619	-362
-292	679	-505
-314	876	-381
-311	1227	-537
-205	1043	-449
-61	1270	-529
-92	1304	-689
-18	1336	-474
-100	1068	-420
-120	1006	-311
-95	812	-312
12	647	-352
-32	846	-556
-71	856	-559
-31	904	-481
-82	983	-464
-311	799	-473
-233	904	-276
-231	1035	-424
-242	1059	-601
-297	1216	-729
-305	1187	-556
-274	934	-439
-244	704	-369
-312	545	-376
-263	651	-365
-223	942	-377
-237	1063	-353
-223	1048	-308
-249	940	-301
-258	892	-298
-296	920	-373
-335	979	-456
-368	999	-437
-372	945	-441
-391	920	-365
-322	799	-288
-375	849	-328
-324	780	-285
-370	831	-335
-418	833	-320
-450	894	-311
-399	953	-312
-391	999	-313
-415	967	-305
-425	963	-284
-416	900	-296
-410	883	-269
-404	851	-252
-412	839	-253
-437	806	-264
-445	873	-263
-441	915	-301
-463	923	-321
-426	871	-296
-463	912	-352
-449	884	-329
-457	881	-370
-434	847	-349
-439	819	-365
-463	816	-370
-481	804	-385
-477	824	-420
-473	876	-471
-464	812	-417
-506	776	-436
-521	761	-424
-545	775	-464
-516	823	-458
-481	880	-442
-481	857	-313
-576	982	-276
-687	1080	-285
-737	1080	-413
-705	918	-466
-616	841	-512
-561	688	-500
-520	575	-428
-530	486	-320
-602	504	-271
-650	515	-168
-722	591	-116
-767	632	-65
-800	647	-65
-808	643	-103
-794	659	-136
-794	639	-186
-772	628	-177
-783	632	-196
-775	616	-168
-786	620	-176
-793	624	-165
-799	647	-178
-783	643	-168
-818	663	-208
-802	664	-164
-836	688	-201
-781	680	-151
-781	694	-183
-743	671	-164
-761	686	-185
-749	675	-177
-753	662	-172
-780	663	-168
-808	678	-153
-833	704	-164
-825	704	-156
-813	694	-160
-781	668	-157
-772	662	-159
-754	639	-157
-760	649	-144
-773	643	-141
-794	639	-138
-799	647	-119
-804	655	-132
-807	671	-120
-817	700	-106
-807	679	-109
-797	676	-120
-783	663	-120
-776	663	-121
-761	654	-104
-776	655	-103
-781	649	-77
-807	664	-80
-826	668	-77
-844	696	-112
-829	679	-112
-817	673	-106
-797	643	-88
-781	632	-80
-769	608	-68
-792	608	-81
-799	619	-74
-831	643	-81
-845	662	-76
-840	668	-72
-818	649	-72
-800	628	-84
-781	620	-89
-797	614	-97
-797	627	-81
-832	654	-92
-829	663	-58
-841	676	-77
-828	675	-76
-829	696	-101
-778	662	-68
-781	675	-112
-732	659	-82
-759	663	-109
-749	655	-80
-781	673	-113
-788	664	-103
-813	680	-116
-815	684	-108
-821	691	-121
-820	670	-141
-807	656	-136
-784	647	-145
-770	657	-153
-749	649	-143
-761	672	-153
-760	684	-132
-788	713	-161
-780	708	-145
-808	718	-173
-776	694	-151
-772	696	-184
-752	679	-161
-761	673	-177
-769	664	-151
-791	665	-157
-781	662	-121
-793	671	-121
-793	663	-100
-800	675	-112
-800	670	-105
-797	664	-121
-788	654	-113
-783	638	-121
-769	624	-113
-777	617	-116
-800	632	-136
-810	657	-144
-807	675	-153
-797	671	-153
-772	656	-141
-757	639	-145
-744	646	-146
-753	651	-148
-765	668	-154
-773	684	-183
-793	680	-217
-808	680	-228
-818	679	-240
-810	659	-240
-812	671	-260
-769	644	-218
-754	641	-221
-745	630	-208
-756	644	-208
-753	672	-202
-728	679	-208
-692	691	-207
-692	696	-225
-690	683	-218
-738	694	-264
-744	671	-287
-717	675	-301
-695	660	-317
-717	657	-361
-720	668	-381
-722	655	-381
-735	663	-400
-725	684	-386
-737	694	-392
-732	707	-400
-729	684	-400
-722	639	-376
-719	600	-360
-724	591	-359
-738	611	-352
-756	625	-365
-753	636	-360
-744	631	-353
-736	625	-345
-722	624	-340
-712	606	-316
-722	620	-292
-725	624	-285
-727	639	-271
-752	656	-268
-783	664	-284
-797	662	-290
-824	679	-308
-783	673	-279
-744	665	-252
-730	643	-250
-697	671	-244
-656	689	-237
-637	708	-213
-637	711	-177
-649	700	-196
-674	724	-241
-650	784	-258
-641	811	-261
-656	835	-263
-655	780	-265
-658	748	-298
-644	705	-336
-642	656	-324
-680	651	-360
-663	694	-381
-680	756	-409
-696	808	-441
-652	764	-414
-653	652	-327
-712	659	-362
-631	704	-360
-568	723	-368
-593	782	-423
-576	816	-416
-601	831	-401
-637	825	-391
-669	792	-365
-637	739	-340
-599	727	-333
-612	713	-324
-637	716	-313
-616	684	-296
-583	639	-261
-648	644	-325
-639	732	-365
-625	851	-432
-583	883	-392
-592	851	-333
-592	804	-285
-581	777	-281
-561	764	-296
-564	793	-335
-578	819	-365
-551	851	-349
-520	878	-336
-479	899	-276
-474	944	-261
-496	920	-242
-445	876	-167
-489	838	-184
-500	856	-232
-525	803	-207
-530	849	-215
-522	889	-202
-469	935	-136
-500	920	-224
-521	867	-252
-505	831	-260
-565	824	-293
-549	847	-269
-551	843	-253
-545	846	-260
-546	895	-268
-560	910	-248
-553	876	-234
-564	832	-257
-567	816	-249
-556	803	-247
-557	816	-244
