Activity Name: bike/
UserID: 38541
StartTime: 0
x	y	z
620	-421	683
596	-498	644
662	-570	747
699	-564	628
659	-530	643
591	-512	616
609	-465	595
508	-425	540
731	-440	688
636	-455	650
624	-402	636
697	-397	635
747	-444	664
667	-441	624
630	-464	670
652	-513	655
712	-489	627
732	-464	600
644	-484	671
574	-586	688
712	-674	696
588	-575	471
643	-584	531
686	-538	566
662	-551	622
510	-409	531
675	-452	710
694	-541	638
684	-548	715
532	-511	620
579	-450	579
668	-468	600
734	-472	651
505	-392	575
654	-365	708
652	-401	774
620	-468	766
614	-519	745
607	-465	623
659	-461	615
614	-380	649
652	-432	704
655	-497	667
700	-540	711
664	-519	688
551	-548	631
592	-620	604
665	-648	715
457	-761	583
504	-653	569
523	-749	668
443	-700	630
535	-741	635
478	-552	551
603	-500	599
529	-500	686
560	-521	687
515	-538	774
542	-564	679
611	-552	743
662	-562	625
569	-538	611
555	-525	702
600	-407	659
631	-320	616
635	-378	744
572	-349	710
624	-337	678
608	-343	704
631	-378	735
627	-441	726
627	-505	760
673	-525	700
731	-576	744
464	-504	478
711	-567	606
752	-620	732
600	-552	671
575	-536	641
544	-613	598
647	-592	499
515	-591	636
600	-513	574
742	-580	678
555	-528	508
619	-536	673
627	-493	588
609	-498	591
671	-432	639
632	-416	656
519	-431	673
675	-476	759
568	-513	616
622	-509	644
723	-498	688
603	-456	627
588	-472	679
704	-535	711
436	-417	463
827	-516	852
627	-557	681
508	-516	548
691	-583	734
587	-537	583
635	-490	558
655	-444	700
635	-447	632
603	-461	596
607	-429	683
664	-455	668
614	-543	704
600	-564	671
592	-546	611
678	-541	643
647	-464	603
656	-404	633
612	-413	630
678	-402	679
627	-409	712
643	-439	636
617	-441	617
695	-544	760
687	-618	724
583	-601	587
711	-625	664
531	-639	488
575	-599	569
616	-544	561
616	-489	572
723	-477	668
665	-449	615
582	-498	652
678	-477	627
595	-532	633
679	-519	643
601	-512	582
604	-545	664
663	-561	664
731	-585	678
406	-429	396
761	-481	723
647	-557	670
659	-543	623
639	-501	595
647	-479	633
655	-576	662
647	-500	595
628	-589	728
468	-505	446
623	-541	624
716	-564	680
611	-544	569
615	-532	617
648	-521	630
595	-532	628
696	-544	646
483	-621	612
632	-609	608
686	-628	702
584	-586	566
515	-498	505
718	-504	675
588	-557	675
662	-513	636
591	-460	625
643	-476	679
572	-469	615
651	-488	664
547	-532	655
606	-505	636
668	-580	744
624	-562	627
583	-508	588
603	-511	607
660	-474	655
654	-417	647
636	-356	590
659	-372	692
622	-400	682
630	-360	668
747	-393	679
671	-439	714
595	-473	659
648	-529	716
660	-608	646
556	-648	574
652	-668	688
633	-656	647
614	-660	585
644	-540	436
706	-468	615
583	-452	632
595	-492	627
619	-561	679
539	-616	655
588	-501	623
684	-488	659
624	-400	603
687	-424	771
684	-496	844
668	-604	940
590	-644	838
540	-295	547
608	-333	336
679	-164	400
664	-144	448
710	-217	348
779	-461	305
651	-673	633
631	-751	811
719	-776	558
756	-719	432
676	-704	448
624	-631	502
686	-624	536
659	-573	496
612	-605	532
588	-745	572
560	-834	540
494	-853	463
600	-825	350
560	-762	380
566	-693	480
563	-685	515
543	-612	443
608	-585	543
649	-600	616
595	-672	560
616	-623	583
612	-602	532
622	-562	556
604	-640	620
622	-648	560
639	-653	543
671	-633	545
624	-570	606
599	-537	595
625	-511	619
660	-473	649
590	-413	583
614	-448	632
647	-465	646
624	-552	636
611	-612	630
636	-641	606
623	-684	616
624	-655	524
688	-657	550
620	-628	465
668	-557	542
639	-557	540
591	-580	611
572	-665	567
540	-682	551
553	-717	539
559	-717	523
595	-645	524
567	-621	590
523	-624	624
555	-603	590
648	-705	556
591	-640	511
627	-705	540
620	-661	467
688	-601	547
619	-520	536
670	-508	618
663	-385	534
719	-424	610
679	-500	623
583	-607	614
647	-689	572
684	-737	579
636	-753	468
646	-676	440
688	-644	471
655	-599	428
703	-605	576
576	-634	507
624	-685	516
648	-657	540
598	-685	508
551	-674	454
608	-665	516
641	-663	476
625	-601	480
596	-561	488
639	-560	524
624	-540	524
659	-601	568
635	-633	566
611	-591	515
711	-629	561
659	-569	526
