Activity Name: run/
UserID: 22867
StartTime: 0
x	y	z
364	545	-121
300	496	-101
339	454	-199
425	553	-333
463	670	-424
356	808	-436
0	1001	-424
-296	1040	-593
-461	876	-997
-396	1004	-1440
-58	1143	-1609
296	1052	-1373
633	611	-928
1214	391	-528
1389	432	-73
1086	283	-141
867	835	-1090
227	2047	-2048
-466	2047	-2048
-992	1408	-1104
-1216	153	-250
-1097	-439	432
-911	-644	519
-957	-392	176
-1385	921	-1104
-1761	2047	-1668
-1154	2047	-1151
-386	1459	-928
268	784	-673
1032	447	-242
1343	367	92
977	937	-484
300	2047	-1359
-445	2047	-1744
-1160	2047	-1554
-1532	1480	-1082
-1329	-110	-549
-1132	-945	139
-1037	-1465	352
-1188	-845	127
-1898	1668	-840
-1981	2047	-754
-929	2047	-429
-177	1526	-397
476	963	-361
1052	551	88
1145	364	260
846	896	-290
305	2047	-980
-529	2047	-1377
-1006	2047	-977
-1312	1468	-621
-1224	-192	-439
-1069	-1012	108
-1012	-1216	208
-1178	-569	54
-1937	1923	-874
-1935	2047	-677
-762	2047	-328
-106	1443	-345
587	1020	-225
1184	591	175
1240	624	44
740	1616	-505
-32	2047	-959
-912	2047	-1113
-1527	2047	-817
-1576	702	-705
-1263	-536	-199
-1042	-1213	219
-1069	-1177	199
-1405	-208	-121
-2048	2047	-989
-1849	2047	-612
-858	1920	-472
-321	1599	-532
292	1251	-296
1068	947	126
1080	1057	8
531	1456	-375
-289	2047	-919
-1354	2047	-1296
-2017	2047	-993
-1740	515	-769
-1266	-666	-164
-936	-1364	177
-905	-1117	300
-1217	17	-73
-1988	2015	-538
-1658	2047	-444
-973	1862	-272
-453	1486	-232
321	1137	-116
1139	1007	94
1183	1340	-201
528	1710	-549
-481	2047	-852
-1338	2047	-884
-1938	2040	-633
-1564	428	-506
-1060	-562	-36
-900	-1156	169
-928	-1066	201
-1337	-80	-130
-2048	2047	-738
-1869	2047	-501
-949	1831	-418
-338	1543	-369
558	1336	-121
1103	1176	54
899	1409	-192
374	1551	-485
-700	2047	-903
-1620	2047	-1188
-1881	2044	-946
-1616	607	-548
-1152	-391	415
-940	-1172	422
-892	-1135	360
-178	-68	-97
-1581	1655	-909
-1824	2047	-652
-1316	1883	-397
-873	1441	-525
79	908	-608
1182	984	-204
1343	1294	-370
622	1638	-634
-540	2047	-933
-1650	2047	-1265
-2048	2047	-1178
-1682	433	-913
-1053	-458	-314
-810	-1044	239
-689	-1044	383
-740	80	283
-904	1523	-79
-865	2047	-674
-544	2047	-488
-56	1756	-245
459	631	-295
1048	57	-98
1243	-170	20
880	179	-177
243	2047	-1056
-537	2047	-1245
-938	2047	-456
-1145	891	-450
-897	-441	-225
-941	-697	287
-1016	-957	243
-1066	-599	-16
-1296	2047	-319
-1197	2047	-9
-69	2047	199
508	1008	228
728	-18	89
726	-306	116
799	-208	137
896	704	-85
491	2047	-808
-7	2047	-674
-593	2047	-248
-1144	579	-737
-927	-264	-428
-863	-399	102
-848	-425	76
-892	139	-82
-721	2047	56
-269	2047	489
124	2047	612
380	1047	503
472	364	392
519	-366	191
752	-519	80
892	-189	12
688	2047	-557
-1	2047	-1017
-544	2047	-348
-985	712	-424
-815	-329	-223
-825	-471	207
-968	-644	-49
-977	103	-64
-800	1639	-185
-349	2047	-85
204	2047	135
486	1590	180
820	647	217
1145	206	385
1007	287	308
748	611	88
783	1278	-220
816	2047	-409
600	2047	-56
345	1494	386
200	487	446
-45	171	105
-153	279	-104
-100	359	-4
163	176	284
799	-53	600
1136	-209	1064
1016	-373	1388
736	-296	745
376	-415	280
240	-305	-87
287	-146	-176
411	-381	576
694	-708	840
1164	-359	643
960	71	-165
344	307	-837
-328	411	-634
-706	435	-40
-897	-208	-68
-1568	478	-632
-2048	2047	-1479
-2010	2047	-823
-522	2047	-348
529	1027	70
1311	560	-1
1366	220	-32
1052	127	-90
649	1043	-599
-183	2047	-1407
-940	2047	-1508
-1585	2047	-1026
-1448	416	-848
-1112	-845	-360
-1124	-1344	-72
-1168	-1193	-192
-1146	-431	-272
-1396	2047	-829
-833	2047	-385
354	2047	-28
715	865	236
846	-154	158
843	-265	201
915	-141	70
816	851	-308
31	2047	-1192
-609	2047	-967
-1213	2047	-529
-1156	337	-648
-943	-592	-175
-1064	-959	38
-1018	-1085	-157
-1071	-42	-145
-1269	2047	-524
-808	2047	-215
-63	2047	-177
337	1176	103
625	430	183
839	86	345
720	88	263
280	1095	-105
-481	2047	-769
-935	2047	-697
-989	2023	-498
-738	344	-431
-705	-388	-157
-756	-700	247
-744	-1066	199
-853	-516	220
-1465	2047	-196
-1245	2047	344
-178	2047	169
392	1334	135
759	807	254
1059	198	271
886	191	112
440	992	-217
-2	2047	-648
-561	2047	-793
-994	2047	-696
-849	777	-503
-687	-23	-72
-666	-626	-24
-696	-804	110
-838	-160	140
-1377	1819	-405
-1159	2047	-431
-554	2047	-170
-216	1463	-60
313	758	-29
891	440	174
937	563	19
556	1225	-249
-12	2047	-589
-372	2047	-482
-820	1921	-237
-1073	664	-303
-985	-189	72
-816	-553	240
-812	-409	320
-1080	617	208
-1282	1831	-44
-930	2024	-121
-441	1839	-153
-20	1323	-249
596	992	-169
1059	824	4
944	915	-49
455	1230	-308
-224	2047	-788
-912	2047	-808
-1364	2032	-532
-1316	486	-439
-1012	-420	270
-1008	-840	321
-1032	-372	252
-1076	835	46
-935	1820	-335
-586	2047	-463
-113	2044	-424
344	1335	-413
883	739	-232
1236	382	16
1049	368	-104
535	1256	-573
-167	2047	-1100
-725	2047	-705
-1292	2019	-313
-1144	327	-272
-816	-653	240
-850	-953	314
-929	-781	159
-1218	780	-273
-1425	2047	-802
-786	2047	-338
-125	2028	-170
299	952	-63
744	295	-57
1080	40	86
979	374	-66
476	1447	-396
-57	2047	-837
