Activity Name: run/
UserID: 47937
StartTime: 0
x	y	z
-500	414	616
-477	440	664
-449	455	798
-426	467	888
-434	463	987
-472	450	995
-568	519	960
-541	595	955
-441	612	912
-439	568	803
-436	526	720
-370	631	887
-343	470	880
-322	348	783
-377	415	748
-415	440	719
-449	435	743
-497	393	736
-564	423	769
-616	492	824
-631	511	873
-625	511	929
-589	548	924
-527	659	927
-385	643	856
-328	550	787
-378	515	750
-458	519	720
-520	472	679
-535	440	636
-506	432	620
-488	448	657
-496	468	736
-528	502	803
-578	543	838
-649	519	816
-752	556	801
-720	700	824
-612	679	761
-569	588	681
-543	611	649
-485	631	649
-476	496	608
-508	383	588
-521	414	600
-520	504	615
-537	572	638
-599	615	632
-653	668	657
-645	652	702
-616	672	752
-580	723	784
-488	847	816
-345	867	740
-287	785	648
-304	663	556
-402	679	423
-383	979	99
-424	884	134
-436	814	150
-397	760	161
-380	841	207
-417	942	209
-505	1016	176
-610	1056	44
-640	1143	-85
-534	1212	-104
-488	1078	-82
-458	918	-82
-400	935	-64
-345	951	-9
-380	784	39
-424	745	127
-445	812	135
-449	828	108
-466	819	143
-513	838	203
-543	927	195
-538	1043	211
-576	1067	270
-557	1075	279
-439	1160	288
-301	1159	252
-225	1032	200
-239	940	222
-320	847	238
-385	775	214
-424	723	196
-441	735	219
-455	792	248
-481	856	280
-512	887	286
-543	905	299
-602	865	329
-706	899	300
-676	1036	179
-586	1078	103
-576	1016	41
-516	999	56
-433	1001	164
-420	835	255
-433	711	319
-412	707	299
-412	748	252
-425	787	240
-473	832	248
-519	913	310
-556	967	415
-607	969	499
-538	987	511
-388	1056	467
-288	1039	428
-236	953	414
-272	916	422
-381	849	391
-449	750	319
-468	664	284
-448	680	320
-456	748	376
-484	801	443
-495	760	515
-520	728	563
-621	726	590
-607	960	638
-481	902	575
-476	867	529
-392	908	489
-196	873	545
-105	662	623
-140	455	598
-181	302	444
-173	278	319
-29	539	268
116	515	177
332	455	124
691	363	67
1276	214	-64
2006	247	-192
2047	304	-232
2047	606	-271
2047	735	-215
1556	750	-249
999	799	-200
510	1035	-177
87	1376	-173
-199	1553	-176
-40	1417	-264
878	1287	-445
2047	1000	-564
2047	600	-661
2047	355	-436
1991	151	-401
1358	-72	-177
675	-633	-72
492	-801	24
603	-732	6
1038	-413	-205
1760	448	-313
2047	1447	-265
1559	1827	-148
838	1739	-190
184	1360	-226
-444	931	-245
-970	783	-292
-1028	795	-252
-559	1295	-346
630	2047	-532
1704	2047	-400
1767	1757	-106
1329	777	-32
1048	220	-66
993	-215	-77
860	-537	-64
713	-528	-56
737	-402	-116
1366	598	-386
2012	2047	-224
1656	2047	-72
536	2016	36
-136	1463	92
-537	846	80
-889	460	19
-954	398	-15
-549	736	-58
353	2047	-141
1116	2047	-77
1263	2047	-24
952	1248	-93
728	463	-98
592	36	-25
552	-193	-20
608	-178	9
696	-80	140
935	176	24
1520	1208	-194
1737	2047	-200
902	2047	31
183	1720	35
-356	1159	-89
-884	671	-248
-1021	591	-298
-689	774	-242
-44	1683	-329
819	2047	-255
1305	2047	-68
1072	1464	4
799	643	-40
692	264	-28
620	51	-4
607	-77	-23
584	-151	-10
672	-116	28
1067	692	-63
1512	2047	-90
1062	2047	-44
326	1823	72
-76	1532	24
-480	1057	-36
-840	627	-133
-773	591	-148
-465	796	-252
-24	1724	-540
808	2047	-800
1059	2047	-709
864	1470	-576
543	844	-493
348	563	-445
241	467	-349
268	412	-236
355	313	-191
521	297	-229
878	633	-151
1318	1296	3
1328	1596	207
787	1272	497
193	1007	728
-143	867	507
-293	736	207
-249	1033	-32
-16	1641	-173
623	2047	-77
1273	1852	123
1167	1095	158
783	408	36
568	102	-64
560	56	-56
639	208	-25
638	459	8
736	736	76
892	1100	73
1065	1648	67
864	1735	63
351	1318	56
1	969	24
-148	827	-8
-154	899	-57
-40	1048	-49
80	1135	127
223	1223	268
551	1436	403
912	1456	478
961	1177	476
713	715	403
492	351	259
384	191	110
463	222	-64
601	456	-180
794	543	-193
1028	761	-170
1091	1265	-76
988	1779	-40
543	1732	67
108	1329	115
-136	979	200
-255	708	179
-237	673	166
-33	926	71
428	1568	-16
739	1912	-52
889	1809	-57
888	1420	7
736	913	49
606	471	28
591	179	12
592	28	24
639	0	54
783	110	63
1080	686	-7
1451	1531	-55
1231	1855	-8
604	1617	-25
124	1334	-25
-170	999	1
-401	752	-18
-544	723	-72
-372	999	-153
92	1582	-229
712	1971	-169
1076	2041	-20
1153	1606	107
888	856	111
641	342	15
536	68	-57
560	-81	-82
622	-64	-84
804	175	-17
1144	839	-36
1387	1592	154
1185	1905	174
588	1779	150
87	1516	56
-239	1104	62
-500	751	15
-551	703	-23
-312	996	-80
254	1790	-113
848	2047	-104
1102	2047	-20
1054	1387	27
791	654	17
647	249	3
592	-10	9
590	-129	-13
655	-48	-1
827	131	-32
1075	673	-64
1468	1489	12
1454	1958	87
799	1793	132
176	1446	86
-169	1180	110
-377	907	79
-420	825	48
-224	934	40
196	1439	9
1048	2006	40
1470	1872	151
1304	1254	190
1007	592	159
827	191	131
700	-57	156
583	-178	136
614	-130	92
876	227	35
1239	926	-124
1344	1513	-57
1119	1695	-66
686	1523	-47
295	1316	-4
28	1064	3
-212	934	25
-389	935	12
-329	1043	48
33	1516	14
588	1780	19
655	1676	67
774	1368	136
792	847	295
623	337	252
423	199	201
352	224	215
455	485	216
606	758	207
617	712	231
704	699	188
748	927	198
775	1313	268
687	1575	446
398	1401	428
-2	1112	372
-306	879	140
-541	904	-61
-449	1243	-229
-109	1603	-257
752	2047	-304
1483	2047	-108
1395	1673	-81
1052	710	-306
839	142	-313
774	-87	-234
736	-285	-124
808	-386	-47
1055	-263	9
1640	1244	46
1977	2047	131
1139	2047	131
193	1911	-12
-341	1377	-64
-845	860	-205
-1012	639	-204
-637	728	-132
-218	1287	-217
651	2047	-300
1175	2047	-120
1112	1832	-68
849	1038	-79
777	505	-57
703	116	51
655	-105	105
659	-176	118
787	-82	190
1272	620	-45
1678	1884	-41
1272	2047	51
488	1759	39
-16	1287	14
-301	972	14
-665	718	-89
-828	780	-185
-564	1091	-239
95	1939	-319
911	2047	-253
1159	2047	-122
1091	1372	-5
992	627	83
831	103	144
624	-136	199
539	-111	176
655	142	108
846	483	19
1144	998	-145
1299	1657	-135
1073	1952	-89
535	1712	-25
71	1398	3
-209	1103	46
-396	793	56
-508	611	38
-497	728	-26
-122	1483	-176
590	2047	-248
942	2047	-193
984	1678	-77
849	907	15
760	334	7
748	3	30
728	-141	-34
716	-144	-18
816	-41	-9
1295	872	-63
1684	2047	131
1176	2047	267
398	1694	182
-20	1316	104
-356	911	3
-679	676	-112
-728	792	-197
-444	1155	-253
223	2035	-301
963	2047	-236
1272	2047	-125
1223	1446	-2
1150	572	55
937	1	144
702	-253	118
536	-231	113
527	-77	120
803	448	56
1241	1336	99
1273	1831	168
887	1841	174
347	1500	188
-20	1228	147
-240	939	96
-461	743	6
-521	847	-29
-293	1075	-40
159	1715	60
875	2047	89
1180	2047	193
903	1161	116
662	449	55
551	112	96
532	-34	119
686	43	151
772	163	120
924	329	-25
1196	1081	-33
1424	1915	83
944	1886	119
303	1616	63
-136	1371	7
-452	1084	22
-616	908	-2
-520	808	22
-296	1014	-57
352	1958	-208
1056	2047	-202
1123	2047	-136
935	1174	-45
798	563	-8
761	177	-15
707	-100	9
684	-156	-16
696	-13	30
918	440	-52
1231	1383	-39
1305	2047	-20
827	2046	15
196	1628	15
-169	1255	31
-407	871	-16
-608	715	-122
-529	868	-145
-253	1167	-178
451	2047	-234
972	2047	-168
1035	2047	-72
883	1217	16
720	497	48
659	89	83
611	-122	48
600	-104	15
615	33	88
936	543	57
1275	1487	81
1228	2047	120
711	1931	64
179	1560	24
-121	1183	16
-370	823	-13
-580	632	-74
-500	775	-125
-216	1337	-185
431	2047	-216
904	2047	-184
972	1913	-77
840	1257	-4
696	657	41
607	275	30
561	51	-13
615	-29	-88
790	63	-55
982	232	-90
1191	961	-41
1451	1958	28
1014	2047	104
312	1846	-29
-144	1340	-71
-425	984	-52
-640	785	-116
-626	824	-161
-381	1036	-208
120	1808	-305
915	2047	-288
1136	2047	-148
1088	1497	-15
944	686	48
819	167	92
748	-124	152
682	-173	116
723	19	99
904	423	67
1099	1001	30
1256	1752	79
1100	2047	64
440	1862	81
-93	1315	48
-335	959	48
-548	713	-20
-537	764	-58
-316	1036	-93
127	1676	-116
729	2047	-76
1095	2047	16
1052	1497	115
873	639	135
750	164	167
636	-58	144
617	-57	-1
644	222	-52
743	513	-48
875	860	-12
1142	1507	191
1112	1944	449
611	1699	521
97	1393	391
-241	1123	304
-463	851	216
-572	707	103
-436	823	94
-57	1478	103
695	2047	143
1043	2047	231
1016	1654	236
859	896	163
736	382	111
664	99	71
684	12	28
715	41	6
791	76	-7
1008	579	-20
1390	1620	251
1319	2047	428
670	1880	398
65	1427	263
-276	1105	199
-498	864	131
-609	760	56
-543	908	9
-113	1628	-52
627	2047	-20
1139	2047	63
1176	1803	176
931	903	104
696	299	38
664	15	-40
692	-125	-129
