Activity Name: sit/
UserID: 637
StartTime: 0
x	y	z
-81	-845	-680
-77	-847	-674
-76	-848	-680
-84	-855	-676
-87	-852	-680
-84	-848	-677
-81	-849	-669
-79	-849	-672
-80	-853	-669
-80	-848	-672
-84	-857	-669
-79	-850	-668
-80	-856	-666
-81	-857	-664
-80	-858	-669
-74	-856	-660
-73	-857	-663
-72	-857	-664
-74	-857	-666
-80	-856	-665
-76	-858	-665
-72	-861	-665
-68	-861	-655
-71	-863	-655
-72	-861	-668
-76	-858	-658
-74	-863	-665
-72	-864	-664
-69	-864	-665
-71	-858	-660
-72	-860	-658
-71	-865	-658
-72	-868	-658
-72	-865	-653
-76	-866	-658
-74	-868	-653
-72	-868	-647
-76	-866	-656
-79	-872	-656
-72	-872	-653
-72	-869	-650
-72	-865	-648
-72	-868	-648
-68	-868	-649
-74	-865	-644
-77	-872	-650
-77	-872	-652
-73	-871	-648
-74	-871	-648
-77	-865	-660
-76	-872	-653
-74	-871	-655
-79	-865	-649
-80	-865	-644
-77	-866	-648
-77	-865	-648
-77	-865	-653
-77	-872	-653
-84	-865	-660
-82	-868	-653
-80	-885	-672
-77	-887	-644
-85	-877	-612
-80	-876	-617
-72	-881	-624
-72	-884	-601
-74	-889	-605
-76	-893	-624
-72	-893	-618
-71	-890	-617
-73	-893	-616
-74	-897	-618
-72	-890	-615
-72	-893	-616
-72	-892	-613
-72	-889	-615
-74	-889	-612
-73	-889	-618
-72	-892	-623
-72	-888	-614
-74	-889	-617
-72	-889	-632
-68	-889	-624
-72	-890	-628
-73	-887	-638
-80	-900	-632
-77	-905	-628
-77	-905	-605
-72	-903	-573
-72	-900	-554
-76	-916	-578
-80	-920	-572
-81	-916	-572
-77	-920	-572
-77	-925	-578
-80	-928	-584
-82	-930	-593
-81	-959	-609
-81	-961	-588
-77	-928	-477
-77	-938	-461
-80	-968	-485
-72	-964	-461
-72	-973	-458
-74	-1004	-449
-65	-994	-432
-56	-996	-410
-63	-1005	-367
-29	-967	-377
-17	-965	-392
-57	-1028	-306
-80	-1021	-218
-48	-932	-220
-65	-1061	-276
-72	-1184	-344
-61	-1047	-237
-71	-1032	-121
-73	-1064	-97
-72	-1064	-114
-79	-1064	-144
-73	-1076	-173
-68	-1081	-173
-66	-1077	-164
-53	-1080	-159
-49	-1079	-153
-57	-1056	-145
-64	-1049	-135
-71	-1048	-127
-64	-1056	-122
-52	-1064	-141
-42	-1060	-136
-52	-1049	-121
-64	-1044	-104
-64	-1050	-109
-68	-1066	-125
-64	-1057	-120
-72	-1049	-106
-66	-1055	-104
-53	-1073	-132
-41	-1081	-162
-64	-1063	-138
-72	-1064	-125
-61	-1071	-144
-52	-1072	-146
-52	-1085	-148
-52	-1085	-153
-57	-1053	-144
-63	-1044	-121
-55	-1056	-122
-53	-1068	-129
-57	-1060	-132
-64	-1053	-121
-74	-1060	-119
-77	-1074	-116
-73	-1069	-114
-77	-1071	-122
-72	-1068	-116
-71	-1069	-112
-72	-1071	-114
-73	-1064	-119
-72	-1063	-125
-72	-1064	-116
-74	-1063	-116
-76	-1069	-120
-87	-1058	-111
-88	-1060	-100
-88	-1060	-104
-80	-1063	-111
-89	-1053	-105
-92	-1056	-104
-89	-1066	-95
-114	-1089	-61
-151	-1178	-20
-151	-1344	76
-60	-1440	71
31	-1492	-201
126	-1516	-170
215	-1357	0
352	-1129	-65
446	-945	-55
499	-756	-66
511	-624	20
476	-439	51
488	-336	156
532	-329	335
569	-392	558
609	-392	460
547	-610	455
535	-696	520
574	-666	560
707	-546	535
769	-424	599
761	-500	622
736	-488	564
755	-465	556
779	-417	467
803	-400	377
799	-457	462
799	-493	480
796	-488	448
788	-522	454
776	-530	460
774	-512	457
752	-537	470
736	-522	500
732	-501	529
718	-492	558
718	-469	544
723	-482	527
737	-469	499
743	-481	500
742	-513	488
758	-525	462
764	-508	463
760	-488	460
754	-474	472
767	-481	487
788	-460	463
779	-461	455
777	-456	454
776	-464	470
763	-464	476
761	-461	494
787	-473	494
799	-497	472
785	-463	444
775	-423	449
780	-433	472
782	-437	479
782	-445	481
771	-447	486
764	-458	481
771	-472	480
784	-473	471
796	-460	438
806	-429	411
798	-441	444
783	-439	478
775	-436	471
774	-436	464
780	-441	462
764	-506	478
750	-492	502
752	-449	497
743	-456	508
764	-463	489
752	-448	476
743	-460	483
743	-473	496
723	-448	494
737	-472	487
719	-461	552
643	-420	614
579	-505	620
536	-528	591
499	-436	454
435	-488	240
406	-641	150
331	-928	54
243	-1026	-122
136	-1356	-44
163	-1444	23
131	-1314	97
4	-1399	88
-4	-1292	-34
28	-1183	-85
44	-1025	-113
38	-943	-39
-20	-1012	-17
-21	-973	-212
-89	-1073	-258
-162	-1156	-148
-125	-1181	-225
-52	-1058	-357
-84	-1084	-322
-103	-1037	-244
-109	-1020	-225
-92	-1021	-272
-84	-1037	-320
-87	-1034	-346
-93	-1032	-335
-92	-1031	-330
-92	-1017	-336
-89	-1025	-333
-96	-1025	-321
-104	-1026	-316
-97	-1021	-316
-93	-1026	-329
-93	-1025	-332
-97	-1015	-328
-89	-1021	-336
-87	-1017	-340
-81	-1025	-349
-87	-1017	-344
-82	-1015	-344
-80	-1021	-345
-82	-1009	-345
-97	-1017	-340
-100	-1025	-340
-97	-1025	-337
-93	-1021	-330
-89	-1017	-328
-88	-1020	-333
-88	-1021	-348
-88	-1020	-351
-85	-1016	-345
-84	-1017	-345
-85	-1018	-345
-84	-1016	-340
-87	-1020	-345
-87	-1021	-340
-89	-1021	-343
-88	-1018	-340
-89	-1021	-346
-85	-1017	-340
-89	-1018	-345
-88	-1017	-345
-89	-1010	-343
-89	-1016	-345
-87	-1021	-340
