Activity Name: stand/
UserID: 2882
StartTime: 0
x	y	z
903	300	12
897	299	7
896	296	17
895	302	9
899	295	19
892	296	19
895	297	9
895	310	12
887	326	35
896	319	22
905	299	7
903	304	28
870	351	54
844	401	44
872	387	112
897	302	84
891	280	12
878	327	33
887	327	94
878	316	88
888	308	47
883	320	73
887	319	73
880	347	79
875	348	79
889	307	71
889	308	60
881	318	70
887	300	76
883	311	76
884	307	91
888	295	80
891	304	70
888	305	83
892	287	92
887	300	88
888	300	91
888	312	99
892	307	92
892	291	91
896	295	91
884	324	99
880	307	108
891	295	88
892	302	88
889	297	96
888	311	88
881	319	111
891	312	113
886	300	111
881	316	97
884	324	108
864	320	124
871	328	124
888	327	104
897	281	102
894	280	105
887	288	119
883	313	115
892	303	108
897	276	102
892	287	100
902	278	105
892	279	108
897	281	115
892	271	108
892	275	115
894	286	115
891	279	120
886	284	121
886	296	131
888	287	127
888	278	121
883	296	119
891	300	119
886	294	124
894	289	112
899	291	112
895	280	115
903	272	112
899	280	116
895	280	118
902	275	131
894	273	132
895	275	135
888	273	143
904	289	156
886	345	203
892	316	217
888	320	220
928	432	297
864	566	368
808	624	414
787	616	505
758	464	393
511	504	131
366	535	95
145	785	-42
135	803	-225
460	844	-356
739	835	-313
752	975	-173
686	787	-178
611	752	-424
462	723	-592
423	503	-705
248	515	-976
246	472	-893
209	577	-905
199	743	-1114
263	499	-850
499	689	-296
267	843	-320
284	580	115
664	716	254
692	689	443
368	700	295
295	822	-77
371	728	-473
696	991	-548
848	1212	-205
704	822	-13
499	632	-424
563	707	-232
479	694	-689
375	588	-857
248	377	-940
240	524	-674
207	735	-733
193	860	-994
424	710	-493
483	705	-162
371	905	-73
540	1008	28
700	547	273
254	764	160
96	753	-20
278	748	-313
664	984	-378
860	1016	-220
723	1171	35
579	704	-369
491	935	-516
380	756	-413
217	764	-308
103	1240	-409
351	1455	-320
534	775	89
305	739	342
-31	955	457
-175	931	289
-298	1207	126
-391	1000	15
-450	940	-180
-420	688	-362
-437	768	-594
-608	679	-601
-180	183	236
-813	867	-433
-869	481	-385
-1081	667	-296
-945	567	-501
-578	350	-737
-218	371	-957
-540	479	-634
-845	515	-472
-953	448	-436
-689	462	-601
-492	494	-648
-504	478	-965
-1402	655	78
-1431	571	511
-977	551	-159
-804	484	-392
-1568	702	-449
-593	436	-847
251	275	-1241
-465	476	-692
-1025	473	-365
-792	441	-417
-644	332	-525
-453	359	-633
-901	687	-372
-946	545	-61
-701	704	-24
-401	476	-160
-253	499	206
-156	585	607
-297	854	854
-125	1611	451
-114	1191	-25
3	931	-40
243	836	-448
679	864	-993
835	1223	-877
919	1103	-201
668	652	275
604	734	-488
537	499	-720
440	172	-1089
359	438	-1144
300	452	-881
190	823	-1064
211	467	-992
416	508	-680
131	839	-257
779	710	44
566	1356	198
743	1008	459
507	860	486
213	600	396
91	439	71
-135	760	-239
-296	1297	-266
19	1628	409
363	409	665
124	735	780
-388	1041	527
-545	1048	236
-600	863	75
-610	959	-185
-477	892	-277
-480	600	-292
-97	344	145
-980	843	-464
-972	504	-237
-1044	527	-288
-1005	569	-316
-733	419	-633
-384	321	-818
-556	199	-576
-652	561	-473
-1021	627	-400
-928	481	-420
-793	436	-530
-463	398	-575
-1007	492	-633
-1460	614	220
-1151	556	327
-840	472	-264
-863	495	-265
-1140	270	-404
-698	236	-514
-468	425	-821
-641	377	-541
-794	448	-377
-1036	655	-420
-1021	407	-610
-906	531	-369
-945	484	-322
-957	377	-228
-829	260	39
-1005	472	16
-1063	636	-89
-941	476	-104
-1015	369	-241
-985	575	-226
-655	297	-599
-584	350	-705
-616	337	-455
-897	694	-388
-1032	456	-260
-825	419	-365
-733	464	-362
-776	486	-452
-658	451	-239
-749	860	-31
-793	728	41
-665	732	3
-461	492	54
-356	248	353
-205	376	635
-58	382	830
-23	1708	300
89	1480	-25
82	1279	-308
216	721	-576
423	536	-969
831	972	-951
952	1160	-253
616	769	-144
569	867	-284
568	783	-457
513	281	-609
371	217	-976
344	572	-956
364	544	-888
355	614	-1069
345	478	-805
400	551	-509
344	672	-357
515	907	-287
726	880	-175
555	751	204
408	563	286
350	779	143
408	822	-220
542	928	-527
732	867	-402
707	1036	-58
652	929	-49
544	687	-289
508	631	-385
448	627	-770
504	611	-916
412	665	-948
399	775	-769
319	704	-625
329	732	-218
380	670	430
264	751	252
324	617	494
99	617	467
343	947	327
579	1007	144
409	967	-73
268	676	-1
558	839	-138
728	905	-178
726	1104	-208
686	894	-82
515	780	-276
521	1036	-349
608	935	-401
672	921	-400
417	1123	-313
220	955	-141
207	652	54
144	369	92
76	294	-253
-85	1270	-786
-68	2028	-904
411	780	-97
776	-705	671
72	111	-146
-258	2000	179
164	1372	808
727	412	748
451	911	796
-101	1030	743
-293	1054	440
-349	1164	172
-386	985	-13
-388	960	-18
-399	713	-106
-445	712	-121
-633	399	-301
-241	475	704
-900	691	-145
-1032	624	-89
-1210	575	-52
-900	510	-394
-452	344	-617
-569	531	-567
-487	273	-509
-810	480	-489
-1082	572	-221
-836	539	-341
-589	473	-520
-609	472	-589
-1417	675	-164
-1262	550	147
-780	667	-104
-573	663	-260
-388	478	-33
-317	448	91
-375	521	326
-276	448	760
-445	1107	712
-514	1231	188
-212	1223	-180
-177	1447	-303
-130	1136	-306
3	1054	-343
54	825	-426
123	944	-656
246	908	-820
244	819	-648
156	820	-513
67	752	-525
17	748	-636
