Activity Name: walk/
UserID: 15218
StartTime: 0
x	y	z
391	-392	-844
388	-396	-834
391	-399	-832
392	-401	-836
387	-392	-833
391	-408	-832
383	-400	-845
382	-426	-842
404	-416	-808
398	-415	-824
400	-465	-820
400	-476	-788
398	-520	-762
408	-537	-756
393	-605	-696
422	-675	-665
398	-628	-661
420	-690	-633
103	-808	-538
-63	-836	-458
3	-850	-570
305	-824	-610
215	-791	-551
102	-900	-540
79	-815	-536
111	-786	-549
143	-804	-564
143	-817	-552
159	-845	-632
137	-829	-564
184	-788	-541
273	-813	-527
201	-857	-488
188	-852	-527
201	-848	-527
231	-881	-476
232	-816	-564
249	-759	-589
249	-816	-528
255	-834	-509
249	-833	-504
243	-832	-497
248	-836	-500
248	-839	-511
252	-829	-505
240	-836	-506
236	-836	-512
236	-832	-500
219	-842	-505
219	-911	-449
292	-804	-481
239	-872	-484
227	-872	-461
225	-829	-516
207	-869	-541
207	-901	-504
227	-900	-433
176	-877	-464
155	-802	-468
176	-916	-416
143	-912	-348
129	-912	-444
105	-860	-439
92	-909	-356
104	-968	-404
131	-935	-449
115	-1009	-453
89	-1103	-365
99	-1037	-226
145	-993	-109
131	-800	39
156	-1049	164
87	-946	291
92	-749	464
24	-800	584
17	-729	604
9	-826	634
12	-762	700
-31	-697	812
-18	-772	743
31	-778	636
-9	-761	711
-20	-761	724
-10	-772	663
-116	-727	616
-256	-676	671
-385	-685	678
-368	-721	583
-369	-778	659
-247	-784	681
-162	-794	753
-77	-680	673
-135	-781	729
-693	-881	761
-808	-543	713
-530	-637	508
-597	-636	511
-575	-658	585
-666	-530	611
-653	-543	608
-669	-532	548
-672	-592	519
-639	-626	545
-648	-596	535
-663	-601	551
-664	-591	544
-713	-572	535
-820	-605	529
-938	-866	592
-1137	-719	287
-1178	-263	200
-913	-205	355
-749	-277	271
-610	-373	167
-489	-521	240
-506	-781	328
-516	-961	358
-525	-1001	376
-520	-1025	472
-482	-1056	439
-431	-1132	299
-360	-1231	6
-266	-1081	-426
-104	-848	-655
-105	-625	-765
-178	-461	-719
-248	-431	-544
-346	-788	-461
-450	-873	-426
-522	-592	-284
-656	-400	-84
-749	-399	-193
-1183	-848	-576
-980	-1089	-412
-660	-657	-160
-524	-492	-276
-473	-729	-437
-237	-932	-495
-183	-877	-472
-313	-909	-464
-456	-996	-480
-537	-976	-430
-520	-912	-369
-546	-848	-389
-532	-770	-333
-453	-740	-264
-413	-793	-239
-408	-904	-260
-268	-944	-220
151	-1400	-103
238	-1953	-245
-361	-1876	-509
-941	-1396	-617
-1124	-759	-626
-946	-234	-696
-744	-71	-393
-295	-217	136
-129	-271	167
-162	-505	-32
-244	-1424	-367
-189	-1637	-165
-177	-1432	19
-152	-1202	92
-293	-1068	-21
-338	-1012	15
-304	-1060	176
-516	-957	14
-628	-818	-176
-548	-741	-153
-479	-656	-120
-412	-511	-288
-505	-464	-641
-288	-1017	-788
-48	-824	-818
-136	-840	-712
-285	-672	-706
-717	-572	-890
-1073	-658	-888
-943	-655	-449
-796	-685	-228
-689	-693	-76
-679	-633	8
-692	-668	192
-724	-708	155
-784	-936	-105
-858	-1009	-372
-892	-937	-538
-832	-818	-620
-625	-712	-669
-429	-661	-652
-313	-660	-628
-303	-685	-591
